s_no,comment,sentiment
294,It can eat harrier and may be creta also🤔,Neutral
295,"I am a proud owner of Duster and waiting for new model. But 2025 is too much, by the it comes out it can not compete with the present market trend and for that price point no way!!",Positive
296,Super design and cabin 👍🏻,Positive
297,Fresh design and looks promising. I believe it's little highly priced.,Positive
298,4/4 ka option hona chaiye basss har month 10 se 12 hajar unit bikenge 😂😂😂😂,Neutral
299,This suv can change renaults future in India. Reasons 1. Renault cars have good safety rating compared to MS and hyundai  2. They have good after sales service unlike tata and mahindra. 3. They are really reliable vehicles too. Renault has a decent position is realiability ranking. In my opinion this is a win win for reanult and customers alike,Positive
300,"Looks like bigger version of kwid, hear and their volvo xc40 copy bits.",Neutral
301,That Matte dashboard though 🤯🤯🤯🤯🤯🤯🤯🤯🤯🤯.  If this car launches as it is then for me it will be the best looking suv in whole compact suv segment.  It looks premium and futuristic and that Matte interior really made me impatient for this car.,Positive
302,"The quality of the interior plastics, even in the show vehicle looks utterly dreadful - like something out of the 80s. And they want to charge 20 lakhs for that!",Negative
303,duster without diesel engine is simply heartbreaking.,Neutral
304,Brake LSD Only No Locking Differential,Neutral
305,Please bring Diesel engines options to OG DUSTER 🔥,Neutral
306,Hope it is coming soon to India. Looks very nice.,Positive
307,Looks good... If priced right it will be a winner,Positive
308,If it come with diesel it will break all sales record,Neutral
309,"The 1.2 liter, 3 cylinder mild hybrid powerplant is a technological novelty. It is clutchless and allows the ICE to be paired directly to the CVT.  It is kind of poetic to finally see the ICE break free from its clutches before extinction ‼️😅😍 I think Suzuki's new Z12 hybrid powerplant is also clutchless.",Positive
310,लुक्स के मामले मे सिर्फ एक कार इसको टककर दे सकता है किया सेल्टोस ! और कोई नही ! नाइस कार !!,Neutral
311,Without diesel or hybrid it will not perform well in India...thats my thought,Neutral
312,"2025 is too late, i m going for the kiger top varient in few months",Neutral
313,"Hu, Autocar India Channel and host Nikhil Bhatia, Congratulations!, Renault India for brand new Duster, the orignal mid size SUV in India. It was a great hit along with it's alliance partner Nissan India Terrano.  Their primary success was their powerful 110 HP diesel engine and lower variant had 90 HP diesel engine. The present dismal sales is primarily due to discontinuation of diesel powertrain. Now, with expected price tag of Rs. 20 lakh, debut later part of 2025 and no diesel engine option, once again it will doomed again!, Sorry, but it's true. Looking forward to Channel.",Positive
314,It's after 2months.. When did autocar need to use such bait titles which are misleading.. Making things seem like it will be here in a few weeks,Neutral
315,Hahhah by that time SUVs demand will be dead,Negative
316,"2025 ?!?! I mean wtf, really?",Negative
317,2025....??? Am sure will have better options then..,Positive
318,Headlights blatantly copied from Volvo,Negative
319,Eagerly waiting to upgrade my trusty Kwid. If priced right it will end the the Korean dominance.,Positive
320,Looks like harrier at back,Neutral
321,Auto car india took the video from some else youtube channel and do some sound effect and upload in thier channel.,Positive
322,One of major advantages duster enjoyed at that time was it's pricing so 20 lakh is most probably going to be a miss.,Positive
323,"If they don't change the design and focus on performance and safety, its  definitely gonna be a big hit.",Neutral
324,did they copy Toyota?,Neutral
325,Duster 🔥❤,Neutral
326,"These are plain rumours that Duster will be relaunched in India. If at all Renault launches this car, then it will be an electric version only. Electric version launch is the only thing that justifies 2025 last quarter launch.",Neutral
327,Waiting for new Duster ❤❤❤,Positive
328,"Finally one that doesn’t look like a deformed rabbit arse, lmao, looks good this time",Positive
329,Horrible engines for an offroader. Bound to fail. Lost its usp.,Negative
330,Need to wait for another 2yrs😢,Neutral
331,The logo of DC reminds me of Dilip chaabaria Designs 😅😅😅😅,Neutral
332,How about safety rating,Neutral
333,2025 nice,Positive
334,It looks like Ford Bronco from the front at some extend.,Neutral
335,Wah autocar..!   Exter and punch are SUV's but duster is CROSSOVER 😂,Neutral
336,Creta and seltos.. be very afraid 😨 😱,Negative
337,The compact king is back🔥🔥🔥👏,Neutral
338,Nice🇸🇦,Neutral
339,I liked Duster but too late 😢  sorry it set up the SUV game but couldn't match competition and it still not doing it😢😢😢  doesn't match competition already late 😕😕😕,Negative
340,Looks good... but launch at 2025 festive season (meaning October 2025) is a big let down.,Positive
341,jaldi lao isse india bas price 13-15 ke bich hona chahiye,Neutral
342,Earlier Duster used to be 8-14 lakhs which was affordable for lower and upper middle class. If Duster is going to cost 20lakhs plus and launch is in 2025 then it will fail because other brands would have upgraded their line up and have overlapping products.,Negative
343,Big bye Renault 😂😂,Neutral
344,Interiors look great,Positive
345,Free may be nahi magta hay re baba raju tu le ke ja re isko 😂😂,Positive
346,That is a Dacia,Neutral
347,Service is not good LED bulb or mud flap gayab ho gaya service centre may say my bed experience.autoparts he market may avilable nahi hai jabardasti company may he repair karna padta hai unke rates say. resale value b 0.local for focal one n only Tata super sefty super built quality 5ka 50may dega toh b chalega 🙏🙏💐💐,Neutral
348,two things to say: too pricey too late,Negative
349,"Mileage,.,.matters in INDIA..",Neutral
350,Great Design need it in 2024,Positive
351,Has very similar design cues to the upcoming Land Cruiser. Love it!,Positive
352,Baap aa gya..... real compact SUV,Positive
353,Just think I spent15 plus lakhs on brand whose extistance itself a question mark. 😂😂😂 Ak bar ko Tata ki product par bet laga lunga.. lakin Ranault ko sapni mai bhi nehi launga😂😂😂,Neutral
354,2025.......... Tooooooo late,Negative
355,2025 ? For these features ? Better not to sell .. they should be giving us duster electric with 500+ km range by 2025 not some 94 ps 3 cylinder toy engine,Positive
356,"If this thing is coming to India, I reckon Seltos and Creta will have sleepless nights",Neutral
357,2025 launch date will be too late and it will be outdated. If Renault want to capture market then it has to  be 2024 otherwise they will be out of the game.,Negative
358,What a comeback renault 👏,Neutral
359,sun roof is not suitable for India. wonder why all the reviewers keep nagging about missing it. all it is used if for kids to stand up when going on roads. an absolute senseless option.,Neutral
360,The OG King is back 🎉,Neutral
361,"Long way to go 2025. Until then many would be launched. Should not forget it was Renault who launched the 1st Midsized SUV. But thereafter they did nothing to stay in competition. They allowed the other Co's to launch their Cars & overtake.  They were happy &  complacent for years. They woke up to launch Captur. Same Duster in new clothing & with 25%+  increase in Pricing. Indians were not fools to accept the new featureless avatar. Hence was rejected & forced to discontinue. Same was the Suicidal case with NISSAN KICKs priced it at par with King Creata. Hence rejected & forced to quit India.  You got to study Indian requirement & competition offerings. Than package & Price it Well only than you can succeed.  Same is the case of Ghamandi VW-Skoda Cars they priced it high at the launch with big Claims they have Tested their Cars for 7 lacs kms in all Indian Roads & weather Conditions. But their Claims were fake & Cars failed with EPC, poor AC performance, Rattling & Cracking noise from doors & dash, shagging roofline, Screeching brake noise, etc.... etc. Combine Sales 4 Cars is less half than King Creata, Seltos & Verna.  That's my India & Indians. Once a Car is rejected it's rejected for ever. Do whatever you can it's labelled as FAILED model.",Neutral
362,Cena kosmiczna zaczyna byc drogo i niezbyt atrakcyjnie to początek konca hossy,Neutral
363,Lovely The perfect time for an upgrade,Positive
364,Please get Jimny in 4x2 variant & price less ....MSIL would do wonders ....off Roading is just aspirational value Indian needs,Negative
365,Price and size makes it a competitor if harrier not creta,Neutral
366,No cóż  szczerze to jestem rozczarowany nie wzięto pod uwagę praktycznych zastosowań  chociażby półka po stronie pasażera,Neutral
367,"We may see this car only if Renault remains in India till 2025 festive season. With their uninspiring line up of cars and super late updation of its once hot selling suv it only raises concern whether they are making any significant profits. And if they do manage to bring it to Indian market they must offer features like Panoramic sunroof, ventilated seats and a more plush cabin rather than having complete hard plastics.",Positive
368,"I love the shape and designed of it, it stands out very well.",Positive
369,Finally a real suv in a world of raised hatches and crossover the boss is coming back,Neutral
370,Already Late.. But better late than never. 🎉🎉,Neutral
371,As a renault kwid owner this pumps me up to buy one,Neutral
372,DC  thought ki deelip chhanariya,Neutral
373,"Another claustrophobic car 🚙 especially if seated in the back seat,  with the tiny windows",Negative
374,"That brand of vehicle is not well known where I am from, however it looks attractive inside and out.",Positive
375,"Duster ke ORVM manufacturer DACIA ke daamad hai, (thoda toh upgrade kar lete bhai)",Neutral
376,❤just pure 🪙 gold...bring it by 2024 ..else u lose the game battle,Neutral
377,"its a brutal update, everything looks very similar and there is a 70% chance that this model may fail....mark my words",Negative
378,Safari strome ko bhi relaunch kr do please 😢,Neutral
379,It's doubtful whether renault will be in india by 2025.,Negative
380,make way to the real trend setter...🔥,Positive
381,Who hurt duster,Neutral
382,Look Similar like jeep compass 😂😂😂😂😂,Neutral
383,"Nowhere close to the first gen models. The new ones look so generic and run of the mill. Nothing like the diesel Dusters of before. They were powerful, spacious and fuel efficient. And they sold for terrific low prices. Owners still covet their old Dusters even today.",Positive
384,"i have only been living in india for the past 2 years so i am a bit unfamiliar with the duster and terrano but considering the hype and all isnt the engine displacement a bit small for a suv this big? its like using the yaris engine on a prado, do correct me if im wrong about the  engine being too small",Negative
385,Renault again getting too late to get the duster in indian market. It will get outdated as all other brands will launch more competitive suv’s of duster’s segment till 2025. Either renault should make changes in duster according to that time in 2025 or should not launch it as it will be too late and outdated for 2025 market of india.,Negative
386,This version will never come in india,Neutral
387,The OG is backkk.,Neutral
388,Only hybrid can save renault in india😅,Neutral
389,4*4 in Petrol Engine is awesome. Hope Tata will go back to complete the work which they missed earlier,Positive
390,"I believe Renault is meant for most affordable with all the minimum requirements without compromise on quality and safety.  Definitely it will be one of the game changer in it's segment along with it's sibling from Nissan. (RNIPL) if it launched in the first three months of the year 2024.  For sure it will be blended with full of latest futures, technology and comfort.  Awaiting for the official confirmation about it's launch.",Positive
391,What about automatic?,Neutral
392,Once upon a time a KING ruled indian roads.....  D U S T E R 🔥,Neutral
393,Renault as usual late..so many models will be in 2025 and it will be outdated then,Neutral
394,Baby urus❤,Neutral
395,Loved the new model but Q3 2025 is way too late for India 🤦‍♂️,Positive
396,Let you know in 2025,Neutral
397,why fwd?,Neutral
398,"Don't know what was Renault smoking all this while launching junk cars, they should not have stopped new gen dusters",Positive
399,I hope duster gets  1. 4 cylinder diesel manual 2. 4x4 3. 5 star ncap   No other tech needed.,Neutral
400,Did they discontinued the 1.3L 150 hp engine?,Neutral
401,What is the point of giving the news now when the car is coming 2yrs later😣,Neutral
402,Waiting for 4x4 duster to destroy Mahindra's monopoly.,Negative
403,Rugged SUV >> SUV with useless sunroof,Negative
404,Looks rugged.... But Interiors and Features are key to succeed,Neutral
405,2025 ma laa k kaa karogi Renault ka patta hi gul ho javega 2025 ma toh aisen hi chalta ra  toh,Neutral
406,Great joke ...3 cylinder engine  below94 and  130 bhp and 20lakhs budget..ready for underground again' 😂😂😂😂,Positive
407,Renault's Best performing batsman is resting in the pavilion & under 19 team is handling the battle!!! 😂😂😂😂,Positive
408,looks aur features ache hai par engine options abhi bhi thoda cazual hai,Neutral
409,Reno should bring back diesel engines,Neutral
410,2025 long time,Neutral
411,Duster could teach the current crop of SUV a thing or two about style and design of an SUV...always the OG,Neutral
412,Good looking but we want Diesel version,Positive
413,"It will succeed in India if launched next year first quarter or around that timeline. In 2025, it's going to have a hell lot of competition with so many hybrid options.",Positive
414,Interior looks awesome,Positive
415,Don't like rear look,Neutral
416,No diesel😢,Neutral
417,ADAS - The imperative of time in India,Neutral
418,everything is perfect but launch in 2025 is too late,Positive
419,Diesel engine should there.,Neutral
420,After the captur I have no hope that this will come in even a slightly international level form. It will be some nonsense that vaguely looks like this and nothing more. Perhaps using the kwid chassis and engine/transmission,Neutral
421,All that plastic on the front and rear bumpers is a bad idea. Those bits get scraped and dented so often in metro cities in India. With plastic those marks or dents (cracks rather) will be permanent unless you replace the whole plastic portion. With metallic parts you can get the dents repaired at any third-party repair shop and even get them repainted at certain workshops for cheaper than what the manufacturer would charge for replacing the plastic bits. I hope Renault reconsiders that option for the India launch.,Neutral
422,GOOD NEWS! THE DACIA…DUSTER… The what?,Positive
423,FESTIVAL SEASON OF 2025 !! LOL THAT'S 2026 and Goodbye to Renault 😶‍🌫️,Positive
424,Without Diesel Engine Reno Duster could not success in India.,Negative
425,Hope this is more safer than creta and seltos,Positive
426,Time for EV or hybrids Renault has no tech i suppose,Neutral
427,Renault should respect the love India gave to duster n launch new duster in India in coming months ... otherwise stop.operating in India,Positive
428,Looks fire!,Neutral
429,"new buyers are now more watching global ncap rating not only featuers & mileage, generally indian version are always cut down version from foreign to restrict in budget range",Neutral
430,Will it really come to india,Positive
431,No ventilated seats! It's very important for Indian climate,Positive
432,Oh no! Anyway..,Neutral
433,Late of 2025. We will have plenty of superior options by then. This will feel like noob product at that time.,Positive
434,The Duster will get a sunroof for sure. My leaks are never wrong. (If you've seen my comments ie),Positive
435,2025😅😂😮😢,Neutral
436,Nice design,Positive
437,Only one question when its going to be launch in India ? Atleast a official announcement.,Neutral
438,Big question mark? Only next gen people can wait till 2025😅😂,Neutral
439,Have 110 now. Next one is this or thar 5 door.,Neutral
440,In India it is sure to miss out on a lot of features and quality……,Positive
441,If it will launch in diesel powertrain than it will standout from its competition,Neutral
442,Okay. This looks like a bad guy turned good guy. 🫠 original duster looks mean and muscular.,Positive
443,Why still toomuch plastic😢,Neutral
444,If these engines will come to india duster will fail tell them to bring 2.0 liter and 2.4 liter engines will click in india,Negative
445,"Okay, so creta and seltos are SUVs and DUSTER is Crossover. Greeat Hypocrite Autocar",Positive
446,Iske interiors auto wale he honge 😅 just like earlier models,Neutral
447,Will the duster get a sunroof model in 🇮🇳 😂😂,Neutral
448,plastic quality looks too cheap for a 20 lacs car,Positive
449,Duster won't cut. We need the Terrao from Nissan.,Neutral
450,Magnite Kiger  Duster need sunroof.,Neutral
451,"All over the world, this segment of cars are called compact cross overs or compact SUVs. It is funny how Indian car journalists call these cars Mid-size SUVs, Scorpio-N is a mid-size SUV. Creta, Seltos, Duster and all are compact crossover SUVs.",Positive
452,This should come in electric too,Neutral
453,Sounds like a rumour...just to clear the pending stock. Ford did the same thing ...they just fooled Indians with glimpse of upcoming mid size suv and facelifted ecosport,Neutral
454,Without diesel 😵,Neutral
455,Festive season 2025? This is hilarious. Why talk about a car so ahead of it's launch? The world will change so much before this car comes.,Positive
456,"Wait, did I hear 2025!!!! By that time, the market would be too flooded",Neutral
457,Renault shud launch it as it is in India.,Neutral
458,OG crossover,Neutral
459,2025 ???? Are u kidding me?,Neutral
460,Как стемнеет будем брать,Neutral
461,"By the time it comes to India, renault will be planning to leave India",Neutral
462,It would've been perfect had it had an automatic with the awd system..,Positive
463,Pathetic engines,Negative
464,"Love the design !!.I seriously miss conventional headlamp design, I don't where the Indian Automakers got the idea of making DRLs and Headlamps in place of Fog Lamps a new standard. It's okay with some SUVs, but for all of them is absurd.",Neutral
465,creta hogayaa,Neutral
466,No diesel and no proper 1.5 petrol and only 3 cylinder  Whyyy 😢 again,Neutral
467,Germans and french automobile companies never took indian market seriously specially in below 30 lakh segment,Positive
468,"Looks great. I hope it gives tough competition to Creta and Seltos.  I think new Duster should include Panoramic Sunroof, Ventilated seats, ADAS features, because the people in that category looks for features and a TV more than the car itself.  But for enthusiasts like me, just offer a 1.6L or 1.5L Turbo-petrol engine or a 1.5L diesel engine.",Positive
469,"Excited for the new duster, but 2025 is too late",Neutral
470,Strong hybrid will be super hit.,Positive
471,"It has to be at least 20% cheaper than Hyundai Creta, model to model, for it to be successful.  If it is 20 lac, I don't think many will like that as a proposition. I certainly won't. I would rather buy cheaper Harrier.",Positive
472,"Ecosport and Duster in a way are very similar. These two were the segments first, then the segment leader for a long time and then the biggest looser simply because of the brand's inability or simply unwillingness to adapt to the Indian market",Neutral
473,Looks so good!!!!,Positive
474,Loved it. 2024 launch needed. 2025 will be too late for Renault India,Positive
475,"Well, this is seriously bring the success Renault has been missing for sometime...bring it Renault bring it as soon as possible.",Neutral
476,2025 is too far away Best everyone let's go to Italy and settle there No crappy nonsense on Diesel engines are the cause of pollution thing The 1.6mjd in bs6 guise is still around Buy a Fiat Tipo and enjoy,Positive
477,2025!? 🤭,Neutral
478,2025 great year to launch duster.Till then Indian will not buy any SUV,Positive
479,"I was excited until I heard 2025 launch . Turbo petrol with mild / strong hybrid is welcome . But bit of confusion still lies , is it going to have proper 4*4 or just AWD ?",Positive
480,2025 launch 🤐🤐,Neutral
481,Are those headlights pickup from volvo xc ?,Neutral
482,"I like it , I don’t know why the hate comments ..muscular , mafia style  Just feels little long for a 5 seater",Negative
483,No sunroof???,Neutral
484,Great car....what not understood its late launch in India. Are we not significant for Renault  ????,Positive
485,2025 is too long,Neutral
486,Looks like the Citroen C3 Aircross. What a cheap design.,Positive
487,2025 is toooooooo far away........ Which is saaaaaad 😢😢😢,Neutral
488,Very late to party pushpa,Negative
489,"Strong hybrid may be deal breaker but but but.......  Launch 2025😮😮😮 They are slow slow and slow by the time they launch , Toyota may come up to hydrogen fuel cell",Negative
490,SO is this actually coming to India? At first it looks like a DC concept car.,Positive
491,Cheap copy of brezza and safari 🤣,Positive
492,India launch date,Neutral
493,Wow❤❤🎉,Neutral
494,I want diseal engine,Neutral
495,2025!? Renault-Nissan need to bring this by Q3 2024 or it's an RIP to both,Neutral
496,Low budget hummer 😂,Neutral
497,Not worth the money and diesel engine option not available here in India totally waste for price,Negative
498,OG 🔥,Neutral
499,It won't come they just tease it to show that they r here. Fact is that they are packing,Neutral
500,Thats so futuristic,Neutral
501,Plz Renault we want Diesel.. I'll buy it Anytime....PS only if they launch the diesel in India....🙃,Neutral
502,Also Tata CURVV on its way,Neutral
503,sasta urus,Neutral
504,Finally duster looks like a duster and not a sweeper 🧹,Neutral
505,Waiting,Neutral
506,Not so good,Positive
507,Old duster is a uniqueness . . . Which is real rugged on tat stage . . . . ❤,Positive
508,oh my it looks simply stunning 😍💖,Positive
509,I own a duster diesel 110. Love It!,Positive
510,Hope this comes to India within 1st quarter 2024 ❤,Neutral
511,Finally!Wait is over,Neutral
512,Og compact suv is back in the game 🔥🔥🔥 sure give tough competition to the current compact suv cars in India,Neutral
513,Good,Positive
514,Awesome car.. Waiting for it!!!,Positive
